player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id
TreVontae Hights,2020,3,2.293,0.764333,0.018,0.004,2.954754,0.984917,0.023195,NA
Dalton Schoen,2021,1,0.66,0.66,0,0.004,0.923638,0.923638,0,00-0035960
Seth Dawkins,2020,3,2.2925,0.764167,0.0075,0.004,2.954109,0.984704,0.009664,00-0036055
Aaron Fuller,2022,1,0.705,0.705,0,0.003,0.864827,0.864827,0,00-0035987
Will Hastings,2020,3,2.2925,0.764167,0.0575,0.004,2.954109,0.984704,0.074094,00-0036091
Darrell Stewart,2020,3,2.292,0.764,0.007,0.004,2.953465,0.984488,0.00902,NA
Ahmad Wagner,2020,3,2.291,0.763667,0.011,0.004,2.952177,0.984059,0.014175,00-0036211
Kyle Williams,2020,3,2.2905,0.7635,0.018,0.004,2.951532,0.983844,0.023195,00-0036184
Kendrick Rogers,2020,3,2.29,0.763333,0.005,0.004,2.950888,0.983629,0.006443,NA
Isaiah Wright,2020,3,2.29,0.763333,0.015,0.004,2.950888,0.983629,0.019329,00-0036142
Scotty Washington,2023,1,0.75,0.75,0,0.003,0.852091,0.852091,0,00-0035769
Brandon Polk,2020,3,2.29,0.763333,0.005,0.004,2.950888,0.983629,0.006443,NA
Tony Brown,2021,1,0.66,0.66,0,0.004,0.923638,0.923638,0,00-0036111
Tony Brown,2023,1,1.2325,1.2325,0.5,0.005,1.400269,1.400269,0.56806,00-0034540
Sean Riley,2020,3,2.29,0.763333,0.015,0.004,2.950888,0.983629,0.019329,NA
Jalen McCleskey,2022,2,1.575,0.7875,0,0.004,1.932061,0.96603,0,00-0035786
Jordan Lasley,2018,4,2.728676,0.682169,0.268676,0.004,3.932866,0.983216,0.387245,00-0034271
Earnest Edwards,2020,3,2.289,0.763,0.004,0.004,2.949599,0.9832,0.005154,00-0035931
Jeremiah Braswell,2020,3,2.288,0.762667,0.003,0.004,2.948311,0.982771,0.003866,NA
Steven Mitchell,2020,2,1.525,0.7625,0,0.004,1.965111,0.982555,0,00-0034081
Alexander Hollins,2021,1,0.1656,0.1656,0,0.001,0.231749,0.231749,0,00-0035104
Marvelle Ross,2020,3,2.2875,0.7625,0.0075,0.004,2.947666,0.982555,0.009664,00-0035834
George Campbell,2020,3,2.2875,0.7625,0.0025,0.004,2.947666,0.982555,0.003221,00-0036146
Justice Shelton-Mosley,2020,3,2.2875,0.7625,0.0025,0.004,2.947666,0.982555,0.003221,00-0035888
Jeff Thomas,2020,3,2.2875,0.7625,0.0025,0.004,2.947666,0.982555,0.003221,00-0036098
Shane Leatherbury,2020,3,2.287,0.762333,0.002,0.004,2.947022,0.98234,0.002577,NA
Jeff Cotton,2023,1,0.75,0.75,0,0.003,0.852091,0.852091,0,NA
Jaylon Moore,2023,1,0.75,0.75,0,0.003,0.852091,0.852091,0,00-0036125
Rashad Medaris,2020,3,2.287,0.762333,0.002,0.004,2.947022,0.98234,0.002577,NA
Devin Phelps,2020,3,2.286,0.762,0.001,0.004,2.945734,0.981911,0.001289,NA
Aleva Hifo,2021,1,0.66,0.66,0,0.004,0.923638,0.923638,0,NA
Siaosi Mariner,2021,1,0.66,0.66,0,0.004,0.923638,0.923638,0,NA
Juwan Green,2023,1,0.75,0.75,0,0.003,0.852091,0.852091,0,NA
Michael Dereus,2021,1,0.66,0.66,0,0.004,0.923638,0.923638,0,00-0036074
Omar Bayless,2022,1,0.705,0.705,0,0.003,0.864827,0.864827,0,00-0035947
Dylan Cantrell,2021,1,0.78,0.78,0,0.004,1.091573,1.091573,0,00-0034409
Ishmael Hyman,2022,1,0.705,0.705,0,0.003,0.864827,0.864827,0,00-0034922
A.J. Richardson,2021,1,0.66,0.66,0,0.004,0.923638,0.923638,0,00-0035491
Devin Gray,2022,1,0.705,0.705,0,0.003,0.864827,0.864827,0,00-0034141
Reece Horn,2021,1,0.66,0.66,0,0.004,0.923638,0.923638,0,00-0033092
Thomas Ives,2021,1,0.66,0.66,0,0.004,0.923638,0.923638,0,00-0035074
Anthony Ratliff-Williams,2021,1,0.66,0.66,0,0.004,0.923638,0.923638,0,00-0035520
Austin Proehl,2022,1,0.705,0.705,0,0.003,0.864827,0.864827,0,00-0034442
Anthony Johnson,2021,1,0.66,0.66,0,0.004,0.923638,0.923638,0,00-0035474
Anthony Johnson,2023,3,2.71,0.903333,0.231,0.004,3.078888,1.026296,0.262444,00-0038907
Bug Howard,2022,1,0.705,0.705,0,0.003,0.864827,0.864827,0,00-0033261
Jordan Veasy,2022,1,0.705,0.705,0,0.003,0.864827,0.864827,0,00-0034669
Jester Weah,2021,1,0.66,0.66,0,0.004,0.923638,0.923638,0,00-0034633
DeAndre Thompkins,2021,1,0.66,0.66,0,0.004,0.923638,0.923638,0,00-0035385
Reggie Begelton,2021,1,0.66,0.66,0,0.004,0.923638,0.923638,0,NA
Kabion Ento,2022,1,0.705,0.705,0,0.003,0.864827,0.864827,0,00-0035079
Devin Ross,2023,1,0.216,0.216,0,0.001,0.245402,0.245402,0,00-0034667
Jody Fortson,2023,1,0.94,0.94,0,0.004,1.067954,1.067954,0,00-0035547
De'Quan Hampton,2021,1,0.66,0.66,0,0.004,0.923638,0.923638,0,00-0034027
Caleb Scott,2021,1,0.66,0.66,0,0.004,0.923638,0.923638,0,00-0034243
Marcus Green,2020,2,1.11,0.555,0,0.003,1.430343,0.715172,0,00-0035296
Dillon Mitchell,2020,2,1.11,0.555,0,0.003,1.430343,0.715172,0,00-0035002
Olabisi Johnson,2019,4,2.594576,0.648644,0.074576,0.003,3.521013,0.880253,0.101205,00-0035006
Deontez Alexander,2022,1,0.705,0.705,0,0.003,0.864827,0.864827,0,NA
Keon Hatcher,2020,2,1.26,0.63,0,0.003,1.623633,0.811816,0,00-0033441
Damion Jeanpiere,2019,3,1.775,0.591667,0.02,0.003,2.408794,0.802932,0.027141,00-0035443
Marcus Simms,2019,3,1.775,0.591667,0.02,0.003,2.408794,0.802932,0.027141,NA
Alex Wesley,2019,3,1.77,0.59,0.1,0.003,2.402009,0.80067,0.135707,00-0035018
Malik Henry,2019,3,1.77,0.59,0.09,0.003,2.402009,0.80067,0.122136,00-0035031
Nick Easley,2020,2,1.1165,0.55825,0.0065,0.003,1.438719,0.719359,0.008376,00-0035353
Emanuel Hall,2020,2,1.11,0.555,0,0.003,1.430343,0.715172,0,00-0035070
Terry Wright,2020,2,1.11,0.555,0,0.003,1.430343,0.715172,0,00-0035097
Ryan Davis,2019,3,1.765,0.588333,0.07,0.003,2.395223,0.798407,0.094995,00-0034965
TJ Rahming,2020,2,1.11,0.555,0,0.003,1.430343,0.715172,0,NA
DaMarkus Lodge,2019,3,1.765,0.588333,0.01,0.003,2.395223,0.798407,0.013571,00-0035475
Jazz Ferguson,2019,3,1.763,0.587667,0.008,0.003,2.392509,0.797503,0.010857,00-0035090
Matthew Eaton,2019,3,1.762,0.587333,0.007,0.003,2.391152,0.79705,0.009499,00-0035078
Kelvin McKnight,2020,2,1.11,0.555,0,0.003,1.430343,0.715172,0,00-0034949
CJ Worton,2019,3,1.76,0.586667,0.005,0.003,2.388438,0.796146,0.006785,NA
Reggie White,2020,2,1.1175,0.55875,0.0075,0.003,1.440008,0.720004,0.009664,00-0035019
Shawn Poindexter,2019,3,1.76,0.586667,0.025,0.003,2.388438,0.796146,0.033927,00-0035035
Felton Davis,2019,3,1.76,0.586667,0.005,0.003,2.388438,0.796146,0.006785,NA
Tyre Brady,2019,3,1.76,0.586667,0.02,0.003,2.388438,0.796146,0.027141,00-0035361
Xavier Ubosi,2019,3,1.7585,0.586167,0.0135,0.003,2.386402,0.795468,0.01832,NA
Jonathan Duhart,2019,3,1.758,0.586,0.01,0.003,2.385724,0.795241,0.013571,00-0035325
Romell Guerrier,2019,3,1.758,0.586,0.003,0.003,2.385724,0.795241,0.004071,NA
Jamal Custis,2019,3,1.758,0.586,0.106,0.003,2.385724,0.795241,0.143849,00-0035153
Dredrick Snelson,2019,3,1.758,0.586,0.003,0.003,2.385724,0.795241,0.004071,NA
Kahlil Lewis,2019,3,1.7575,0.585833,0.0025,0.003,2.385045,0.795015,0.003393,00-0035200
Jonathan Lloyd,2019,3,1.757,0.585667,0.002,0.003,2.384367,0.794789,0.002714,NA
Emmanuel Butler,2020,2,1.11,0.555,0,0.003,1.430343,0.715172,0,00-0034943
Shawn Bane,2019,3,1.7565,0.5855,0.0015,0.003,2.383688,0.794563,0.002036,00-0035194
Dorian Baker,2019,3,1.7565,0.5855,0.0015,0.003,2.383688,0.794563,0.002036,00-0035038
Isaac Zico,2019,3,1.765,0.5855,0.0015,0.003,2.395223,0.794563,0.002036,00-0035524
Raphael Leonard,2019,3,1.7575,0.585333,0.0025,0.003,2.385045,0.794336,0.003393,00-0035366
Cortrelle Simpson,2019,3,1.756,0.585333,0.001,0.003,2.38301,0.794336,0.001357,00-0035479
Spencer Schnell,2019,3,1.756,0.585333,0.001,0.003,2.38301,0.794336,0.001357,00-0035587
Sean Modster,2019,3,1.7555,0.585167,5e-04,0.003,2.382331,0.794111,0.000679,00-0035114
Joe Walker,2022,1,1.035,1.035,0,0.005,1.26964,1.26964,0,00-0032809
Andre Lindsey,2019,3,1.755,0.585,0,0.003,2.381652,0.793884,0,NA
Stephen Louis,2019,3,1.755,0.585,0,0.003,2.381652,0.793884,0,00-0035460
Damon Sheehy-Guiseppi,2019,3,1.755,0.585,0,0.003,2.381652,0.793884,0,00-0034915
Charles Holland,2019,3,1.755,0.585,5e-04,0.003,2.381652,0.793884,0.000679,NA
Jamire Jordan,2019,3,1.755,0.585,0,0.003,2.381652,0.793884,0,NA
Fred Trevillion,2019,3,1.755,0.585,0,0.003,2.381652,0.793884,0,NA
Joe Horn,2019,3,1.755,0.585,0,0.003,2.381652,0.793884,0,00-0035601
Jamarius Way,2019,3,1.755,0.585,0,0.003,2.381652,0.793884,0,NA
Jalen Green,2019,3,1.755,0.585,0,0.003,2.381652,0.793884,0,NA
Papi White,2019,3,1.755,0.585,0.02,0.003,2.381652,0.793884,0.027141,00-0035376
Micah Wright,2019,3,1.755,0.585,0,0.003,2.381652,0.793884,0,NA
Jaylen Smith,2022,1,0.207,0.207,0,0.001,0.253928,0.253928,0,00-0035121
Brian Burt,2019,3,1.755,0.585,0,0.003,2.381652,0.793884,0,NA
Floyd Allen,2019,3,1.755,0.585,0,0.003,2.381652,0.793884,0,00-0035635
Bryant Mitchell,2019,3,1.755,0.585,0.024,0.003,2.381652,0.793884,0.03257,00-0034901
Trevion Thompson,2020,2,1.11,0.555,0,0.003,1.430343,0.715172,0,NA
Justin Sumpter,2019,3,1.755,0.585,0,0.003,2.381652,0.793884,0,NA
Joseph Parker,2019,3,1.755,0.585,0,0.003,2.381652,0.793884,0,NA
John Franklin III,2019,3,1.605,0.535,0,0.003,2.178092,0.726031,0,00-0034705
Bralon Addison,2020,2,1.1125,0.55625,0.0025,0.003,1.433565,0.716782,0.003221,00-0032482
Josh Smith,2020,2,1.11,0.555,0,0.003,1.430343,0.715172,0,NA
Martavis Bryant,2023,1,0.3708,0.3708,0,0.002,0.421274,0.421274,0,00-0031373
Josh Doctson,2021,1,0.252,0.252,0,0.001,0.352662,0.352662,0,00-0032760
Emeka Emezie,2022,1,0.207,0.207,0,0.001,0.253928,0.253928,0,NA
Darren Waller,2022,3,51,17,22,0.082,62.56196,20.853987,26.987512,00-0031610
Dallas Goedert,2021,4,57,14.25,35.127549,0.078,79.768767,19.942192,49.159321,00-0034351
Mark Andrews,2021,4,56,14,37.583059,0.077,78.369315,19.592329,52.595689,00-0034753
George Kittle,2020,5,75,15,40,0.076,96.644803,19.328961,51.543895,00-0033288
T.J. Hockenson,2023,4,66,16.5,42.5,0.073,74.983986,18.745996,48.285142,00-0035229
Travis Kelce,2020,4,57.25,14.3125,23,0.072,73.7722,18.44305,29.63774,00-0030506
Jonnu Smith,2023,2,15,7.5,8.5,0.033,17.041815,8.520907,9.657028,00-0033858
Hunter Henry,2021,3,37.5,12.5,25,0.068,52.479452,17.493151,34.986301,00-0033090
David Njoku,2022,4,54.75,13.6875,28,0.066,67.162104,16.790526,34.347743,00-0033885
Dawson Knox,2022,4,52,13,31.2,0.062,63.788665,15.947166,38.273199,00-0035689
Evan Engram,2023,3,41.25,13.75,25.5,0.061,46.864991,15.621664,28.971085,00-0033881
Cole Kmet,2023,4,50,12.5,32.793,0.056,56.80605,14.201512,37.256816,00-0036290
Austin Hooper,2023,1,2.75,2.75,2.165,0.012,3.124333,3.124333,2.459702,00-0032392
Dalton Schultz,2023,1,6.25,6.25,6,0.028,7.100756,7.100756,6.816726,00-0034383
Mike Gesicki,2023,1,4.5,4.5,3.55,0.02,5.112544,5.112544,4.03323,00-0034829
Zach Ertz,2023,1,0.2898,0.2898,0,0.001,0.329248,0.329248,0,00-0030061
Kyle Rudolph,2022,1,2,2,1.5,0.01,2.45341,2.45341,1.840058,00-0027981
Trey Burton,2018,4,32,8,22,0.045,46.121896,11.530474,31.708804,00-0030710
Kyle Pitts,2021,4,32.910496,8.227624,32.910496,0.045,46.056661,11.514165,46.056661,00-0036970
Logan Thomas,2021,3,24.065,8.021667,10.315,0.044,33.677814,11.225938,14.435348,00-0031260
Rob Gronkowski,2021,1,8,8,8,0.044,11.195616,11.195616,11.195616,00-0027656
Jimmy Graham,2023,1,1.3175,1.3175,0.1525,0.006,1.496839,1.496839,0.173258,00-0027696
Tyler Higbee,2023,2,17,8.5,16.07598,0.038,19.314057,9.657028,18.264258,00-0033110
Will Dissly,2022,3,24,8,15.98,0.038,29.440922,9.813641,19.602747,00-0034159
C.J. Uzomah,2022,3,24,8,15,0.038,29.440922,9.813641,18.400576,00-0032134
Cameron Brate,2022,2,8,4,4,0.019,9.813641,4.90682,4.90682,00-0031273
Jack Doyle,2019,3,21.3,7.1,12.25,0.038,28.905526,9.635175,16.62407,00-0030181
Nick Boyle,2022,2,9.75,4.875,3.75,0.023,11.960375,5.980187,4.600144,00-0031598
Tyler Kroft,2023,1,1.29,1.29,0.025,0.006,1.465596,1.465596,0.028403,00-0032214
Gerald Everett,2022,2,12,6,8,0.029,14.720461,7.360231,9.813641,00-0033895
Tyler Conklin,2022,3,20.25,6.75,10,0.032,24.840778,8.280259,12.267051,00-0034270
Hayden Hurst,2023,3,21.75,7.25,13,0.032,24.710632,8.236877,14.769573,00-0034830
Josh Oliver,2023,3,21,7,10.7,0.031,23.858541,7.952847,12.156495,00-0035249
Eric Ebron,2020,2,12,6,5,0.03,15.463169,7.731584,6.442987,00-0031387
Jesse James,2023,1,1.165,1.165,0,0.005,1.323581,1.323581,0,00-0032135
Mo Alie-Cox,2022,3,17.55,5.85,8.2,0.028,21.528674,7.176225,10.058982,00-0033217
Blake Jarwin,2020,4,22,5.5,9.25,0.028,28.349142,7.087286,11.919526,00-0033658
Ian Thomas,2023,2,6.65,3.325,4,0.015,7.555205,3.777602,4.544484,00-0034365
Vance McDonald,2020,2,10.3,5.15,4,0.026,13.272553,6.636276,5.15439,00-0030470
Jared Cook,2021,1,4.5,4.5,4.5,0.025,6.297534,6.297534,6.297534,00-0027061
Tyler Eifert,2020,2,9.5,4.75,3.25,0.024,12.241675,6.120838,4.187941,00-0030549
Marcedes Lewis,2023,1,2,2,1,0.009,2.272242,2.272242,1.136121,00-0024243
Robert Tonyan,2023,1,2.65,2.65,1.25,0.012,3.010721,3.010721,1.420151,00-0033757
Chris Manhertz,2023,2,6,3,3.34,0.013,6.816726,3.408363,3.794644,00-0031484
Foster Moreau,2023,3,12.234,4.078,8.02,0.018,13.899304,4.633101,9.11169,00-0034981
Durham Smythe,2023,2,7.75,3.875,5.5,0.017,8.804938,4.402469,6.248665,00-0034798
Ryan Griffin,2022,1,2.25,2.25,0.75,0.011,2.760086,2.760086,0.920029,00-0030108
Geoff Swaim,2023,1,1.7,1.7,0.45,0.008,1.931406,1.931406,0.511254,00-0032141
Pharaoh Brown,2023,1,1.08,1.08,0,0.005,1.227011,1.227011,0,00-0033439
O.J. Howard,2023,1,1.2325,1.2325,0.45125,0.005,1.400269,1.400269,0.512675,00-0033879
Noah Fant,2019,4,12.590724,3.147681,12.590724,0.017,17.086455,4.271614,17.086455,00-0035644
Anthony Firkser,2023,1,1.08,1.08,0,0.005,1.227011,1.227011,0,00-0033455
Lee Smith,2021,1,1.8,1.8,1.8,0.01,2.519014,2.519014,2.519014,00-0028097
Darren Fells,2021,1,1.2125,1.2125,0.4625,0.007,1.696836,1.696836,0.647247,00-0029738
Levine Toilolo,2021,1,1.6,1.6,0.65,0.009,2.239123,2.239123,0.909644,00-0030443
Dalton Kincaid,2023,4,13.42704,3.35676,13.42704,0.015,15.254742,3.813686,15.254742,00-0038933
Nick Vannett,2023,1,1.215,1.215,0.25,0.005,1.380387,1.380387,0.28403,00-0032394
Cethan Carter,2021,3,7.8,2.6,2.7,0.014,10.915726,3.638575,3.778521,00-0033338
Adam Shaheen,2020,2,4.85,2.425,3.247635,0.012,6.249697,3.124849,4.184894,00-0033896
Sam LaPorta,2023,4,9.465998,2.3665,7.825179,0.011,10.754519,2.68863,8.89035,00-0039065
Michael Mayer,2023,4,9.313638,2.32841,7.596697,0.01,10.58142,2.645355,8.630767,00-0039066
Luke Musgrave,2023,4,8.475742,2.118936,6.348437,0.009,9.629468,2.407368,7.212593,00-0039144
Antony Auclair,2022,1,1.9,1.9,1.6,0.009,2.33074,2.33074,1.962728,00-0033421
Ross Dwelley,2023,1,1.7,1.7,0.7,0.008,1.931406,1.931406,0.795285,00-0034073
James O'Shaughnessy,2022,1,1.12,1.12,0,0.005,1.37391,1.37391,0,00-0031951
Jordan Akins,2023,2,3.9,1.95,1.73,0.009,4.430872,2.215436,1.965489,00-0034364
Pat Freiermuth,2021,4,6.02818,1.507045,3.33814,0.008,8.436149,2.109037,4.671567,00-0036894
Harrison Bryant,2023,1,1.75,1.75,1.75,0.008,1.988212,1.988212,1.988212,00-0036232
Irv Smith Jr.,2023,1,1.75,1.75,0.4,0.008,1.988212,1.988212,0.454448,00-0034970
Trey McBride,2022,4,6.29966,1.574915,3.4579,0.008,7.727825,1.931956,4.241824,00-0037744
Eric Saubert,2023,1,1.685,1.685,0.85,0.007,1.914364,1.914364,0.965703,00-0033576
Drew Sample,2023,1,1.2325,1.2325,0.0525,0.005,1.400269,1.400269,0.059646,00-0035631
Luke Schoonmaker,2023,4,6.266678,1.56667,3.342433,0.007,7.119704,1.779927,3.797408,00-0038547
Eric Tomlinson,2023,1,1.3175,1.3175,0.6525,0.006,1.496839,1.496839,0.741319,00-0031690
Hunter Long,2021,4,4.968696,1.242174,0.973596,0.007,6.953452,1.738363,1.362501,00-0037004
Brenton Strange,2023,4,6.114342,1.528586,3.224717,0.007,6.946632,1.736659,3.663669,00-0038935
Tommy Tremble,2021,4,4.926434,1.231609,0.94286,0.007,6.894308,1.723578,1.319487,00-0037005
Adam Trautman,2023,1,1.5,1.5,1.5,0.007,1.704181,1.704181,1.704181,00-0036422
Josh Hill,2021,1,1.2125,1.2125,0.9875,0.007,1.696836,1.696836,1.381959,00-0030216
Derek Carrier,2021,1,1.2125,1.2125,0.275,0.007,1.696836,1.696836,0.384849,00-0029119
Tre' McKitty,2023,1,0.216,0.216,0,0.001,0.245402,0.245402,0,00-0037011
Jelani Woods,2022,4,5.372484,1.343121,1.08726,0.006,6.590453,1.647613,1.333747,00-0037755
Greg Dulcich,2022,4,5.25914,1.314785,1.004828,0.006,6.451414,1.612853,1.232628,00-0037252
Luke Stocker,2021,1,1.14375,1.14375,0.06875,0.006,1.600623,1.600623,0.096212,00-0028042
Zach Gentry,2023,1,1.4,1.4,0.1525,0.006,1.590569,1.590569,0.173258,00-0035222
MyCole Pruitt,2023,1,1.215,1.215,0,0.005,1.380387,1.380387,0,00-0031585
Jeremy Sprinkle,2022,1,1.1875,1.1875,0.1525,0.006,1.456712,1.456712,0.187073,00-0033528
Jacob Hollister,2023,1,1.08,1.08,0,0.005,1.227011,1.227011,0,00-0033387
Blake Bell,2023,1,1.3175,1.3175,0,0.006,1.496839,1.496839,0,00-0032062
Darrell Daniels,2023,1,1.08,1.08,0,0.005,1.227011,1.227011,0,00-0033258
Tucker Kraft,2023,4,5.537932,1.384483,1.027588,0.006,6.291761,1.57294,1.167464,00-0038996
Maxx Williams,2022,1,1.2725,1.2725,0,0.006,1.560982,1.560982,0,00-0031558
Jeremy Ruckert,2022,4,5.044903,1.261226,0.84902,0.006,6.188608,1.547152,1.041497,00-0037805
Darnell Washington,2023,4,5.353912,1.338478,0.893752,0.006,6.082692,1.520673,1.01541,00-0038558
Cameron Latu,2023,4,5.304082,1.326021,0.857512,0.006,6.026079,1.50652,0.974237,00-0038564
Demetrius Harris,2021,1,1.075,1.075,0,0.006,1.504411,1.504411,0,00-0030155
Johnny Mundt,2022,2,2.415,1.2075,0.2,0.006,2.962493,1.481246,0.245341,00-0033246
John Bates,2021,4,4.202416,1.050604,0.722416,0.006,5.88108,1.47027,1.010987,00-0036628
Kylen Granson,2021,4,4.186364,1.046591,0.706364,0.006,5.858616,1.464654,0.988523,00-0036876
Stephen Anderson,2023,1,0.2898,0.2898,0,0.001,0.329248,0.329248,0,00-0032725
Ricky Seals-Jones,2023,1,1.08,1.08,0,0.005,1.227011,1.227011,0,00-0033611
Daniel Brown,2021,1,1.04,1.04,0,0.006,1.45543,1.45543,0,00-0032098
Donald Parham,2023,2,2.565,1.2675,0.4,0.006,2.91415,1.440033,0.454448,00-0035329
Devin Asiasi,2023,1,0.2898,0.2898,0,0.001,0.329248,0.329248,0,00-0036194
Richard Rodgers,2022,1,1.12,1.12,0,0.005,1.37391,1.37391,0,00-0031384
Josiah Deguara,2020,4,4.419685,1.104921,0.867468,0.006,5.695194,1.423798,1.117817,00-0036332
Trevon Wesco,2023,1,1.2325,1.2325,0.3525,0.005,1.400269,1.400269,0.400483,00-0035259
Dalton Keene,2023,1,0.87,0.87,0,0.004,0.988425,0.988425,0,00-0036225
Cade Otton,2022,4,4.52394,1.130985,0.83394,0.005,5.54954,1.387385,1.022998,00-0038129
Ross Travis,2021,1,0.99,0.99,0,0.005,1.385458,1.385458,0,00-0032319
Kelvin Benjamin,2021,1,0.99,0.99,0,0.005,1.385458,1.385458,0,00-0031359
Daniel Bellinger,2022,4,4.453112,1.113278,0.793112,0.005,5.462655,1.365664,0.972915,00-0038115
Luke Farrell,2021,4,3.83802,0.959505,0.35802,0.005,5.371125,1.342781,0.501032,00-0036887
Brevin Jordan,2021,4,3.832184,0.958046,0.325184,0.005,5.362958,1.340739,0.455079,00-0036556
Jake Ferguson,2022,4,4.36488,1.09122,0.70488,0.005,5.354421,1.338605,0.86468,00-0038041
Charlie Kolar,2022,4,4.36488,1.09122,0.70488,0.005,5.354421,1.338605,0.86468,00-0038046
Noah Gray,2021,4,3.79378,0.948445,0.31378,0.005,5.309213,1.327303,0.43912,00-0036637
Zach Davidson,2023,2,1.674,0.837,0.009,0.004,1.901867,0.950933,0.010225,NA
Jace Sternberger,2023,1,1.01,1.01,0,0.004,1.147482,1.147482,0,00-0035671
Albert Okwuegbunam,2020,4,4.044044,1.011011,0.749044,0.005,5.211144,1.302786,0.965216,00-0036423
Jerell Adams,2021,1,0.92,0.92,0,0.005,1.287496,1.287496,0,00-0032429
Gabe Holmes,2021,1,0.92,0.92,0,0.005,1.287496,1.287496,0,00-0031884
Sean Culkin,2021,1,0.92,0.92,0,0.005,1.287496,1.287496,0,00-0033696
Jordan Thomas,2023,1,1.01,1.01,0,0.004,1.147482,1.147482,0,00-0034420
Deon Yelder,2022,1,1.035,1.035,0,0.005,1.26964,1.26964,0,00-0034319
Alex Ellis,2022,1,0.965,0.965,0,0.005,1.18377,1.18377,0,00-0032864
Josh Perkins,2021,1,0.92,0.92,0,0.005,1.287496,1.287496,0,00-0032599
Jordan Leggett,2021,1,0.92,0.92,0,0.005,1.287496,1.287496,0,00-0033953
Tim Tebow,2021,1,0.92,0.92,0,0.005,1.287496,1.287496,0,NA
Tanner Hudson,2023,1,1.08,1.08,0,0.005,1.227011,1.227011,0,00-0034613
Colby Parkinson,2020,4,3.96544,0.99136,0.67044,0.005,5.109856,1.277464,0.863927,00-0036244
Chigoziem Okonkwo,2022,4,4.164336,1.041084,0.504336,0.005,5.108412,1.277103,0.618672,00-0037809
Isaiah Likely,2022,4,4.164336,1.041084,0.504336,0.005,5.108412,1.277103,0.618672,00-0037838
Brycen Hopkins,2020,4,3.948132,0.987033,0.653132,0.005,5.087553,1.271888,0.841624,00-0036424
Christopher Herndon IV,2022,1,1.035,1.035,0,0.005,1.26964,1.26964,0,00-0034766
Kahale Warring,2022,1,0.895,0.895,0,0.004,1.097901,1.097901,0,00-0035660
Mason Schreck,2023,1,1.08,1.08,0,0.005,1.227011,1.227011,0,00-0033798
Tommy Sweeney,2023,1,1.08,1.08,0,0.005,1.227011,1.227011,0,00-0035308
J.P. Holtz,2023,1,1.08,1.08,0,0.005,1.227011,1.227011,0,00-0032986
Cole Turner,2022,4,3.99888,0.99972,0.33888,0.005,4.905446,1.226362,0.415706,00-0037078
Ryan Izzo,2022,1,0.895,0.895,0,0.004,1.097901,1.097901,0,00-0034439
Teagan Quitoriano,2022,4,3.956148,0.989037,0.296148,0.005,4.853027,1.213257,0.363286,00-0037277
James Mitchell,2022,4,3.902556,0.975639,0.242556,0.005,4.787285,1.196821,0.297545,00-0037282
Jake Butt,2021,1,0.85,0.85,0,0.005,1.189534,1.189534,0,00-0033564
Jaeden Graham,2022,1,0.895,0.895,0,0.004,1.097901,1.097901,0,00-0034788
Evan Baylis,2021,1,0.85,0.85,0,0.005,1.189534,1.189534,0,00-0033763
Daniel Helm,2023,1,1.01,1.01,0,0.004,1.147482,1.147482,0,00-0035428
Isaac Nauta,2021,1,0.85,0.85,0,0.005,1.189534,1.189534,0,00-0035539
Stephen Carlson,2023,1,0.94,0.94,0,0.004,1.067954,1.067954,0,00-0035039
Garrett Griffin,2022,1,0.965,0.965,0,0.005,1.18377,1.18377,0,00-0033095
Troy Fumagalli,2023,1,0.94,0.94,0,0.004,1.067954,1.067954,0,00-0034393
Josh Whyle,2023,4,4.165368,1.041342,0.325368,0.005,4.732362,1.183091,0.369657,00-0038589
Mitchell Wilcox,2023,1,1.04,1.04,0.025,0.005,1.181566,1.181566,0.028403,00-0035771
Tyler Davis,2023,1,1.04,1.04,0,0.005,1.181566,1.181566,0,00-0036250
Andrew Ogletree,2022,4,3.838192,0.959548,0.178192,0.005,4.70833,1.177082,0.218589,00-0037292
Grant Calcaterra,2022,4,3.83414,0.958535,0.17414,0.005,4.703359,1.17584,0.213618,00-0037086
Will Mallory,2023,4,4.130592,1.032648,0.290592,0.005,4.692852,1.173213,0.330148,00-0038394
Kevin Rader,2023,1,1.01,1.01,0,0.004,1.147482,1.147482,0,00-0034193
Cole Hikutini,2021,2,1.675,0.8375,0,0.005,2.344082,1.172041,0,00-0033315
Brandon Dillon,2023,1,0.87,0.87,0,0.004,0.988425,0.988425,0,00-0035102
Kendall Blanton,2023,1,1.01,1.01,0,0.004,1.147482,1.147482,0,00-0035603
Jordan Franks,2022,1,0.825,0.825,0,0.004,1.012032,1.012032,0,00-0034532
Chris Myarick,2023,1,1.01,1.01,0,0.004,1.147482,1.147482,0,00-0035345
Connor Heyward,2022,4,3.815224,0.953806,0.155224,0.005,4.680155,1.170039,0.190414,00-0037304
Sean McKeon,2023,1,1.01,1.01,0,0.004,1.147482,1.147482,0,00-0036032
John FitzPatrick,2022,4,3.792012,0.948003,0.132012,0.005,4.65168,1.16292,0.16194,00-0037306
Ko Kieft,2022,4,3.792012,0.948003,0.132012,0.005,4.65168,1.16292,0.16194,00-0037311
