player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Tom Brady,698,QB,NE,19,78.4,654,687,9.2,2.5,7,41,5.7,69.1,475,0,215,7.4,733,38,289,19,89.9,94.0,94.0,43.8,6,11,766,2,13.5,113.8,4.0,29,17,0,20,56,10,1.3,5543,8.1
Drew Brees,802,QB,NO,16,79.2,610,652,7.5,2.44,18,25,3.7,67.5,440,0,163,8.9,675,43,237,20,88.3,83.9,83.4,49.0,6,18,707,5,9.8,89.4,2.4,16,7,2,16,28,21,3.0,4423,6.8
Eli Manning,1722,QB,NYG,20,68.7,611,648,9.7,2.72,15,35,5.1,56.9,369,0,218,12.1,696,51,217,21,59.3,70.8,74.6,29.4,8,21,730,9,16.5,77.9,5.2,36,12,3,11,29,29,4.0,4190,6.5
Matt Hasselbeck,408,QB,SEA,18,73.0,589,627,8.7,2.57,8,31,4.8,62.4,391,0,186,9.1,681,39,230,29,62.2,71.2,73.6,34.7,1,14,699,4,19.4,89.9,5.3,36,18,2,27,30,31,4.4,4389,7.0
Brett Favre,14,QB,GB,18,75.0,569,593,8.0,2.42,9,28,4.5,66.3,393,0,184,8.0,615,34,224,12,63.9,75.0,77.5,29.4,7,17,645,4,8.7,96.0,2.6,16,6,3,5,33,36,5.6,4564,7.7
Carson Palmer,1317,QB,CIN,16,73.1,551,575,9.7,2.43,8,32,5.3,64.9,373,0,145,7.4,596,30,215,7,68.1,74.5,77.5,27.2,5,20,623,3,11.7,86.7,2.9,17,4,3,8,26,28,4.5,4139,7.2
Peyton Manning,327,QB,IND,17,75.8,533,562,9.6,2.58,11,44,7.5,65.7,369,0,188,8.7,585,35,229,14,69.4,94.4,94.2,33.4,4,16,607,2,11.2,98.0,3.6,21,2,0,14,34,21,3.5,4442,7.9
Jon Kitna,217,QB,DET,16,73.9,522,561,9.5,2.78,8,17,2.9,63.3,355,0,217,8.0,624,31,199,11,29.6,66.5,68.4,31.1,4,20,652,3,23.5,80.9,8.2,51,12,1,26,18,32,4.9,4068,7.3
Tony Romo,1693,QB,DAL,17,70.9,540,556,9.4,2.8,8,37,6.3,63.5,353,0,202,7.8,601,30,233,9,46.6,82.6,81.6,59.3,2,20,630,4,12.9,95.2,4.3,26,19,1,5,37,36,5.7,4412,7.9
Philip Rivers,1725,QB,SD,19,70.4,493,546,9.3,2.76,11,36,6.4,60.3,329,0,204,5.2,580,18,195,27,49.9,79.5,82.6,29.3,6,19,594,7,11.8,83.0,4.1,24,10,0,36,25,23,3.9,3929,7.2
Derek Anderson,2430,QB,CLV,16,68.1,489,527,9.5,2.57,7,31,5.6,56.5,298,0,157,10.5,554,35,197,8,90.4,64.4,66.9,41.3,5,19,581,7,8.9,82.5,2.5,14,13,8,18,29,34,5.9,3787,7.2
Donovan McNabb,438,QB,PHI,14,74.5,428,473,8.2,2.98,10,16,3.3,61.5,291,0,197,8.8,546,28,162,24,69.6,66.1,67.9,48.3,8,7,566,3,22.3,89.9,8.1,44,29,2,25,19,19,3.4,3324,7.0
Jay Cutler,2956,QB,DEN,16,71.3,450,467,8.8,2.52,9,21,4.3,63.6,297,0,147,7.5,507,24,184,10,43.2,69.7,70.8,47.9,3,14,525,3,18.4,88.1,5.3,27,13,3,2,20,25,4.8,3497,7.5
Kurt Warner,112,QB,ARZ,14,73.5,419,451,9.2,2.55,7,21,4.5,62.5,282,0,157,8.4,474,26,172,1,27.8,84.3,88.5,24.1,9,17,494,3,12.7,90.1,4.2,20,3,4,12,27,23,4.7,3425,7.6
Ben Roethlisberger,1732,QB,PIT,16,75.1,426,446,10.0,3.11,4,30,6.5,65.7,293,0,193,8.4,524,27,197,25,33.7,81.9,81.7,51.9,3,14,542,0,27.5,101.9,10.1,53,25,3,10,34,31,5.7,3501,7.8
Jason Campbell,2242,QB,WAS,13,71.6,384,417,9.4,2.76,5,19,4.4,60.0,250,0,138,9.1,460,25,160,32,41.1,72.9,73.4,52.6,6,11,476,3,15.2,77.6,4.6,21,22,4,18,12,26,5.5,2700,6.5
Vince Young,2948,QB,TEN,16,70.7,389,411,9.3,2.97,7,16,3.8,61.8,254,0,151,7.6,494,21,168,31,73.7,67.8,69.3,55.1,1,18,507,5,19.2,69.8,5.9,29,54,2,12,9,29,5.7,2684,6.5
David Garrard,1109,QB,JAX,14,74.4,351,379,9.8,2.99,11,14,3.6,63.1,239,0,158,8.4,429,22,156,15,73.0,80.9,79.7,68.0,5,6,448,3,16.5,98.7,6.1,26,24,1,11,21,14,3.1,2927,7.7
Marc Bulger,684,QB,SL,12,66.9,356,378,9.3,2.47,7,16,4.0,58.5,221,0,134,7.1,417,17,131,26,50.1,62.2,63.8,28.2,4,15,437,3,27.6,70.3,8.9,37,2,2,9,11,23,5.3,2392,6.3
Jeff Garcia,550,QB,TB,14,79.3,328,367,7.9,2.85,10,11,2.9,63.5,233,0,186,10.4,407,27,134,30,57.0,80.7,85.0,37.3,3,6,425,5,10.8,92.1,4.9,20,20,5,21,15,9,2.1,2666,7.3
Joey Harrington,1011,QB,ATL,12,72.0,329,348,7.0,2.59,7,12,3.3,61.8,215,0,157,9.3,388,22,102,2,91.3,69.3,70.0,43.9,4,8,405,0,20.4,77.2,8.2,32,8,0,8,7,12,3.0,2215,6.4
Damon Huard,215,QB,KC,11,70.3,310,332,9.1,2.5,9,14,4.0,62.0,206,0,116,5.5,371,12,111,16,88.3,68.0,68.6,38.5,1,13,388,2,31.0,76.8,9.7,36,3,1,11,11,15,3.9,2257,6.8
Cleo Lemon,1271,QB,MIA,9,66.7,282,309,8.5,2.91,8,11,3.4,56.0,173,0,111,8.0,348,15,91,17,31.6,51.4,51.4,55.6,5,6,362,3,22.5,71.0,7.2,25,14,2,12,6,17,4.7,1773,5.7
Tarvaris Jackson,3009,QB,MIN,12,73.0,263,294,10.1,2.91,5,6,2.0,58.2,171,0,121,10.9,345,21,110,18,72.9,59.3,57.0,67.2,4,12,354,4,15.7,70.8,5.5,19,32,7,15,9,18,5.1,1912,6.5
Matt Schaub,1811,QB,HST,11,77.7,260,289,8.9,2.74,5,12,4.0,66.4,192,0,111,5.0,313,10,99,13,64.6,80.3,81.8,40.0,4,9,327,3,14.4,87.2,5.1,16,8,4,16,9,8,2.4,2246,7.8
Kyle Boller,1335,QB,BLT,12,69.4,255,275,9.4,2.74,5,16,5.5,61.1,168,0,97,5.1,311,9,95,3,69.2,59.8,60.4,45.6,4,10,327,0,24.7,75.2,7.7,24,12,4,7,9,16,4.9,1743,6.3
