name,team,SPD,STR,AGI,COD,INJ,AWR,OVR
Christian McCaffrey,San Francisco 49ers,91,74,95,93,87,99,99
Justin Jefferson,Minnesota Vikings,92,64,93,97,94,99,99
Patrick Mahomes,Kansas City Chiefs,87,70,87,87,94,99,99
Travis Kelce,Kansas City Chiefs,85,79,85,75,97,99,99
Trent Williams,San Francisco 49ers,77,98,72,57,88,99,99
Derrick Henry,Baltimore Ravens,91,87,84,79,93,98,98
Fred Warner,San Francisco 49ers,88,80,84,83,96,99,98
George Kittle,San Francisco 49ers,88,82,84,78,86,97,98
Lamar Jackson,Baltimore Ravens,95,63,95,96,89,98,98
Micah Parsons,Dallas Cowboys,91,87,91,77,93,95,98
Myles Garrett,Cleveland Browns,87,96,86,72,88,95,98
T.J. Watt,Pittsburgh Steelers,84,85,84,71,86,99,98
Tyreek Hill,Miami Dolphins,99,64,98,98,92,96,98
Chris Jones,Kansas City Chiefs,72,96,74,62,93,99,97
Dexter Lawrence II,NY Giants,76,99,70,54,93,98,97
Jessie Bates III,Atlanta Falcons,90,59,89,85,92,99,97
Lane Johnson,Philadelphia Eagles,77,89,75,59,84,96,97
Patrick Surtain II,Denver Broncos,93,63,90,91,92,98,97
CeeDee Lamb,Dallas Cowboys,90,70,94,93,93,98,96
Maxx Crosby,Las Vegas Raiders,86,85,84,72,94,99,96
Nick Bosa,San Francisco 49ers,81,94,88,73,87,96,96
Penei Sewell,Detroit Lions,69,97,60,58,94,97,96
Roquan Smith,Baltimore Ravens,87,80,88,82,95,91,96
Sauce Gardner,NY Jets,93,65,91,91,96,95,96
A.J. Brown,Philadelphia Eagles,91,79,86,88,86,91,95
Amon-Ra St. Brown,Detroit Lions,90,67,91,87,90,97,95
Jalen Ramsey,Miami Dolphins,92,71,90,90,87,95,95
Laremy Tunsil,Houston Texans,70,92,67,52,89,94,95
Saquon Barkley,Philadelphia Eagles,93,81,94,92,84,96,95
Tristan Wirfs,Tampa Bay Buccaneers,77,94,64,58,95,96,95
Aidan Hutchinson,Detroit Lions,82,87,85,70,91,98,94
Antoine Winfield Jr,Tampa Bay Buccaneers,91,59,89,86,88,95,94
Joe Burrow,Cincinnati Bengals,83,68,82,79,89,97,94
Mike Evans,Tampa Bay Buccaneers,92,78,81,82,95,98,94
Minkah Fitzpatrick,Pittsburgh Steelers,91,64,91,87,94,92,94
Nick Chubb,Cleveland Browns,90,86,83,81,90,91,94
Zack Martin,Dallas Cowboys,72,93,63,59,98,97,94
Creed Humphrey,Kansas City Chiefs,69,90,67,58,93,97,93
Ja'Marr Chase,Cincinnati Bengals,94,73,89,93,92,92,93
Jaire Alexander,Green Bay Packers,92,60,93,95,86,92,93
Joe Mixon,Houston Texans,91,82,89,88,92,97,93
Joe Thuney,Kansas City Chiefs,74,88,68,57,97,96,93
Josh Allen,Buffalo Bills,88,80,85,82,99,88,93
Quinnen Williams,NY Jets,80,92,79,62,91,95,93
Chris Lindstrom,Atlanta Falcons,77,92,69,58,94,98,92
Christian Darrisaw,Minnesota Vikings,70,92,67,54,87,92,92
Frank Ragnow,Detroit Lions,74,92,58,55,87,96,92
Josh Hines-Allen,Jacksonville Jaguars,88,84,84,73,92,97,92
Mark Andrews,Baltimore Ravens,87,81,80,76,92,93,92
Marlon Humphrey,Baltimore Ravens,91,74,86,89,88,93,92
Terron Armstead,Miami Dolphins,77,89,67,57,80,94,92
Terry McLaurin,Washington Commanders,93,67,87,88,93,95,92
Trent McDuffie,Kansas City Chiefs,91,61,94,91,89,94,92
Charvarius Ward,San Francisco 49ers,91,65,86,85,88,96,91
Davante Adams,NY Jets,90,63,95,95,97,87,91
Demario Davis,New Orleans Saints,88,85,79,72,98,96,91
Denzel Ward,Cleveland Browns,94,61,95,95,88,89,91
Josh Jacobs,Green Bay Packers,89,83,86,84,93,95,91
Nnamdi Madubuike,Baltimore Ravens,81,95,73,63,91,95,91
Quenton Nelson,Indianapolis Colts,71,95,68,58,95,99,91
Rashawn Slater,Los Angeles Chargers,75,91,68,59,90,87,91
Stefon Diggs,Houston Texans,92,62,92,94,94,90,91
T.J. Hockenson,Minnesota Vikings,84,80,83,80,87,94,91
Trey Hendrickson,Cincinnati Bengals,84,81,82,66,92,93,91
Xavier McKinney,Green Bay Packers,88,67,88,85,88,92,91
Brandon Aiyuk,San Francisco 49ers,91,65,93,90,92,92,90
Budda Baker,Arizona Cardinals,91,72,91,90,91,91,90
C.J. Mosley,NY Jets,85,75,85,71,90,89,90
Cameron Heyward,Pittsburgh Steelers,72,93,68,60,92,94,90
Danielle Hunter,Houston Texans,88,82,83,71,86,94,90
David Njoku,Cleveland Browns,87,72,83,74,87,92,90
Derwin James Jr,Los Angeles Chargers,90,80,89,86,86,92,90
Khalil Mack,Los Angeles Chargers,86,87,85,71,92,89,90
Kyle Hamilton,Baltimore Ravens,88,72,87,79,89,88,90
Marshon Lattimore,Washington Commanders,91,72,90,90,87,88,90
Ronnie Stanley,Baltimore Ravens,71,92,69,56,79,97,90
Trey Smith,Kansas City Chiefs,69,95,69,52,92,88,90
Vita Vea,Tampa Bay Buccaneers,72,98,71,60,92,90,90
Aaron Jones,Minnesota Vikings,90,71,92,89,87,90,89
Alex Highsmith,Pittsburgh Steelers,85,85,82,74,92,93,89
