year,snap_counts_coverage,snap_counts_run_defense,player_game_count,snap_counts_dl_over_t,snap_counts_fs,snap_counts_pass_rush,grades_defense,grades_run_defense,grades_pass_rush_defense,grades_tackle,snap_counts_defense,snap_counts_dl_outside_t,snap_counts_slot,player,team_name,grades_coverage_defense,grades_defense_penalty,snap_counts_dl_a_gap,player_id,snap_counts_offball,position,snap_counts_dl,snap_counts_dl_b_gap,snap_counts_box,snap_counts_corner
2006,603,447,16,0,977,3,83.3,88.1,46.7,86.3,1053,2,8,Robert Griffith,ARZ,87.5,0.0,0,104,1051,S,2,0,64,2
2006,26,4,2,0,4,1,26.6,41.4,59.1,22.9,31,1,2,James Darling,ARZ,29.7,75.8,0,255,30,LB,1,0,24,0
2006,19,261,10,65,0,311,62.0,58.3,65.3,79.9,591,523,0,Bertrand Berry,ARZ,54.3,81.5,0,267,0,ED,591,3,0,0
2006,63,26,6,0,0,0,56.4,68.4,,59.0,89,0,76,Robert Tate,ARZ,53.8,79.1,0,286,89,CB,0,0,9,4
2006,15,377,16,166,0,511,61.6,57.3,65.1,66.7,903,727,2,Chike Okeafor,ARZ,62.7,52.9,0,493,5,ED,898,5,3,0
2006,0,242,11,2,0,255,67.9,76.5,50.6,63.5,497,0,0,Kendrick Clancy,ARZ,57.6,73.8,384,634,0,DI,497,111,0,0
2006,260,175,14,0,4,1,82.0,78.3,60.0,66.5,436,6,4,David Macklin,ARZ,80.8,85.6,0,647,430,CB,6,0,31,391
2006,502,420,16,0,362,80,76.3,69.4,72.6,62.2,1002,128,229,Adrian Wilson,ARZ,75.2,68.3,0,831,874,S,128,0,269,14
2006,378,321,16,0,2,15,50.5,47.8,47.4,49.2,714,4,97,Orlando Huff,ARZ,55.4,88.0,0,859,710,LB,4,0,609,2
2006,36,42,4,0,0,3,80.8,78.7,68.5,55.7,81,0,1,Monty Beisel,ARZ,68.8,78.7,0,862,81,LB,0,0,78,2
2006,0,138,13,5,0,198,69.5,66.7,61.9,74.8,336,8,0,Chris Cooper,ARZ,67.2,66.0,139,909,0,DI,336,184,0,0
2006,70,153,14,8,0,107,55.1,51.7,51.1,50.6,330,269,8,Calvin Pace,ARZ,64.5,87.1,0,1334,53,ED,277,0,45,0
2006,498,400,14,0,34,37,54.5,54.2,67.0,50.5,935,1,36,Gerald Hayes,ARZ,53.7,90.1,0,1385,934,LB,1,0,863,1
2006,2,0,1,0,0,0,62.2,,,,2,0,0,Hanik Milligan,ARZ,61.1,63.5,0,1491,2,S,0,0,2,0
2006,350,319,14,0,9,90,58.3,45.7,66.7,70.5,759,281,68,Karlos Dansby,ARZ,64.1,90.3,0,1754,478,LB,281,0,398,3
2006,1,384,16,81,0,479,55.3,56.9,53.2,47.3,864,28,0,Darnell Dockett,ARZ,57.5,80.5,17,1785,0,DI,864,738,0,0
2006,55,55,7,0,0,0,59.1,69.8,,53.5,110,0,6,Matt Ware,ARZ,55.4,80.5,0,1810,110,CB,0,0,7,97
2006,5,236,16,89,0,313,61.1,68.1,56.1,64.4,554,334,0,Antonio Smith,ARZ,60.3,44.7,6,1856,0,ED,554,125,0,0
2006,586,414,16,0,13,4,61.2,69.1,63.9,54.5,1004,5,25,Antrel Rolle,ARZ,59.7,45.5,0,2225,999,CB,5,0,106,855
2006,333,218,14,0,5,4,73.1,88.0,69.6,39.8,555,4,51,Eric Green,ARZ,68.3,51.8,0,2292,551,CB,4,0,55,440
2006,22,23,8,0,2,17,42.3,61.4,54.8,54.2,62,31,3,Darryl Blackstock,ARZ,34.6,79.0,0,2312,31,LB,31,0,26,0
2006,235,118,16,0,277,4,63.4,84.3,53.6,85.4,357,8,22,Aaron Francisco,ARZ,56.0,80.4,0,2594,349,S,8,0,41,9
2006,0,118,12,0,0,138,46.3,50.4,51.4,74.4,256,0,0,Gabe Watson,ARZ,60.2,37.0,196,3052,1,DI,255,59,1,0
2006,1,1,1,0,0,1,63.1,60.0,60.0,,3,0,0,Brandon Johnson,ARZ,60.0,63.4,0,3087,3,LB,0,0,3,0
2006,0,13,4,0,0,34,43.4,45.2,50.3,68.4,47,0,0,Jonathan Lewis,ARZ,,78.2,5,3122,0,DI,47,42,0,0
2006,6,2,2,0,0,0,37.3,60.0,,72.5,8,0,0,Darrell Hunter,ARZ,36.4,70.9,0,3361,8,CB,0,0,0,8
2007,22,193,9,329,0,277,69.4,69.7,61.8,69.3,492,155,0,Bertrand Berry,ARZ,69.4,70.5,0,267,5,ED,487,3,5,0
2007,233,57,15,0,11,8,71.3,62.0,46.4,64.6,298,0,101,Ralph Brown,ARZ,71.5,84.9,0,672,298,CB,0,0,72,114
2007,290,217,9,0,333,31,53.4,83.8,91.5,63.0,538,0,46,Adrian Wilson,ARZ,42.3,0.0,0,831,538,S,0,0,152,7
2007,2,4,1,0,6,0,61.2,60.0,,,6,0,0,Bhawoh Jue,ARZ,60.2,67.3,0,836,6,S,0,0,0,0
2007,57,98,8,0,0,8,65.1,71.3,51.6,52.1,163,15,1,Monty Beisel,ARZ,54.9,77.8,0,862,148,LB,15,0,147,0
2007,2,56,15,36,0,86,61.7,69.8,49.9,74.5,144,18,0,Rodney Bailey,ARZ,61.5,81.4,17,906,3,DI,141,70,3,0
2007,2,46,12,58,0,47,47.0,44.5,56.2,72.6,95,6,0,Chris Cooper,ARZ,60.6,79.5,5,909,0,DI,95,26,0,0
2007,0,6,2,5,0,7,72.9,67.1,65.6,,13,0,0,Ross Kolodziej,ARZ,,72.3,0,931,0,DI,13,8,0,0
2007,18,115,11,134,0,123,52.8,56.6,60.4,56.6,256,120,0,Joe Tafoya,ARZ,44.0,32.1,0,934,2,ED,254,0,2,0
